City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Saint-Augustin,CA,2022-01-30 22:20:33,51.226,-58.6502,17.67,88,99,32.17
67,Moerai,PF,2022-01-30 22:20:34,-22.4333,-151.3333,80.13,74,23,14.23
68,Upington,ZA,2022-01-30 22:20:35,-28.4478,21.2561,73.78,73,86,8.05
69,Boa Vista,BR,2022-01-30 22:19:52,2.8197,-60.6733,91.38,38,40,10.36
70,Tabou,CI,2022-01-30 22:20:35,4.423,-7.3528,79.79,86,25,7.81
71,Ust-Tsilma,RU,2022-01-30 22:20:36,65.441,52.1498,11.62,93,100,6.49
72,Hithadhoo,MV,2022-01-30 22:20:36,-0.6,73.0833,81.55,70,86,9.4
73,Vilyuysk,RU,2022-01-30 22:20:37,63.7553,121.6247,-24.99,100,90,4.09
74,Hobart,AU,2022-01-30 22:16:36,-42.8794,147.3294,70.11,81,20,6.91
75,Qaanaaq,GL,2022-01-30 22:20:37,77.484,-69.3632,-8.9,69,100,5.48
76,Tuktoyaktuk,CA,2022-01-30 22:20:38,69.4541,-133.0374,-0.4,85,100,24.16
77,Aklavik,CA,2022-01-30 22:20:39,68.2191,-135.0107,2.23,97,100,4.54
78,Yagodnoye,RU,2022-01-30 22:20:39,62.55,149.6667,-11.74,99,100,3.87
79,Tomatlan,MX,2022-01-30 22:20:40,19.9333,-105.25,86.32,36,1,7.63
80,Berzasca,RO,2022-01-30 22:20:40,44.6476,21.9526,42.98,82,36,15.55
81,East London,ZA,2022-01-30 22:20:40,-33.0153,27.9116,74.61,83,83,15.01
82,Itarema,BR,2022-01-30 22:20:41,-2.9248,-39.9167,76.91,83,100,8.77
83,Huarmey,PE,2022-01-30 22:20:41,-10.0681,-78.1522,72.16,81,100,9.37
84,Plouzane,FR,2022-01-30 22:20:42,48.3833,-4.6167,48.52,100,100,11.5
85,Puerto Ayora,EC,2022-01-30 22:15:47,-0.7393,-90.3518,82.36,73,100,8.79
86,Faanui,PF,2022-01-30 22:20:43,-16.4833,-151.75,80.6,72,11,9.1
87,Goderich,CA,2022-01-30 22:17:36,43.7501,-81.7165,23.92,68,82,5.75
88,Cumana,VE,2022-01-30 22:20:43,10.4635,-64.1775,80.69,81,83,11.25
89,Chernyshevskiy,RU,2022-01-30 22:20:44,63.0128,112.4714,-20.16,100,99,2.08
90,Upernavik,GL,2022-01-30 22:20:44,72.7868,-56.1549,-3.71,87,100,6.26
91,Sosnovo-Ozerskoye,RU,2022-01-30 22:20:45,52.5249,111.5418,-27.9,100,94,2.53
92,Port Lincoln,AU,2022-01-30 22:20:45,-34.7333,135.8667,67.14,82,47,9.22
93,Narsaq,GL,2022-01-30 22:20:46,60.9167,-46.05,21.42,72,100,17.52
94,Lompoc,US,2022-01-30 22:21:46,34.6391,-120.4579,75.02,46,0,19.57
95,Souillac,MU,2022-01-30 22:21:47,-20.5167,57.5167,79.18,94,75,11.5
96,Carutapera,BR,2022-01-30 22:21:47,-1.195,-46.02,74.91,94,100,7.47
97,Karratha,AU,2022-01-30 22:21:48,-20.7377,116.8463,82.2,63,61,19.13
98,Praia Da Vitoria,PT,2022-01-30 22:21:48,38.7333,-27.0667,59.25,88,75,24.05
99,Busselton,AU,2022-01-30 22:19:58,-33.65,115.3333,64.09,64,90,18.16
100,Dikson,RU,2022-01-30 22:21:49,73.5069,80.5464,-3.62,93,100,21.07
101,Clyde River,CA,2022-01-30 22:21:49,70.4692,-68.5914,-21.77,76,40,4.61
102,Torbay,CA,2022-01-30 22:19:53,47.6666,-52.7314,39.58,81,75,32.21
103,Ayan,RU,2022-01-30 22:21:50,56.45,138.1667,1.17,69,100,16.11
104,Fortuna,US,2022-01-30 22:21:50,40.5982,-124.1573,60.42,74,0,1.01
105,Hohhot,CN,2022-01-30 22:21:51,40.8106,111.6522,5.29,56,0,2.24
106,Canutama,BR,2022-01-30 22:21:51,-6.5339,-64.3831,76.55,93,85,2.39
107,Genhe,CN,2022-01-30 22:20:44,50.7833,121.5167,-17.88,100,56,0.72
108,Kenai,US,2022-01-30 22:21:52,60.5544,-151.2583,23.09,92,0,5.75
109,Kapaa,US,2022-01-30 22:19:29,22.0752,-159.319,80.47,74,0,1.01
110,Airai,TL,2022-01-30 22:19:31,-8.9266,125.4092,60.91,90,82,4.03
111,Aykhal,RU,2022-01-30 22:21:53,66.0,111.5,-21.82,100,90,3.69
112,Idrinskoye,RU,2022-01-30 22:21:54,54.3708,92.1358,-13.61,100,30,2.51
113,Iqaluit,CA,2022-01-30 22:21:54,63.7506,-68.5145,-18.67,76,20,4.61
114,Jaisalmer,IN,2022-01-30 22:21:55,26.9147,70.9181,64.24,29,0,4.65
115,Cortez,US,2022-01-30 22:21:55,37.3489,-108.5859,48.04,30,0,13.8
116,Nikolskoye,RU,2022-01-30 22:21:56,59.7035,30.7861,27.39,96,100,6.24
117,Port Alfred,ZA,2022-01-30 22:19:57,-33.5906,26.891,73.78,88,97,17.18
118,Leningradskiy,RU,2022-01-30 22:20:20,69.3833,178.4167,-14.04,94,90,3.74
119,Ostrovnoy,RU,2022-01-30 22:21:57,68.0531,39.5131,12.16,95,98,8.23
120,Ribeira Grande,PT,2022-01-30 22:21:57,38.5167,-28.7,59.13,73,47,26.37
121,San Cristobal,VE,2022-01-30 22:21:16,7.7669,-72.225,69.98,65,96,4.61
122,Atuona,PF,2022-01-30 22:21:58,-9.8,-139.0333,78.08,77,11,13.69
