City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Portugalete,ES,43.321,-3.0206,44.08,89,75,3.0,mist
79,Tiznit,MA,29.5833,-9.5,60.87,31,85,13.13,overcast clouds
80,Lisakovsk,KZ,52.5369,62.4936,23.63,93,100,12.41,overcast clouds
81,Balykshi,KZ,47.0667,51.8667,19.4,93,40,6.71,mist
82,Saint George,US,37.1041,-113.5841,47.79,27,0,1.99,clear sky
83,Agogo,GH,6.8,-1.0819,66.29,27,99,2.08,overcast clouds
84,Tura,IN,25.5198,90.2201,62.06,43,0,3.53,clear sky
85,Alofi,NU,-19.0595,-169.9187,73.62,90,100,13.11,moderate rain
86,Qianan,CN,44.9932,124.0581,9.03,82,5,3.42,clear sky
87,Bengkulu,ID,-3.8004,102.2655,79.86,76,100,2.3,light rain
88,Cherskiy,RU,68.75,161.3,-27.76,99,56,1.1,broken clouds
89,Aksu,CN,41.1231,80.2644,24.84,49,6,0.22,clear sky
90,Malanville,BJ,11.8685,3.3899,67.91,13,78,11.41,broken clouds
91,Bredasdorp,ZA,-34.5322,20.0403,72.28,88,100,10.38,overcast clouds
92,Hambantota,LK,6.1241,81.1185,79.16,80,24,13.67,few clouds
93,Juneau,US,58.3019,-134.4197,33.8,75,75,6.91,broken clouds
94,Bakal,RU,54.9417,58.8083,13.62,95,100,3.96,overcast clouds
95,Khatanga,RU,71.9667,102.5,-6.7,99,98,7.83,overcast clouds
96,Albany,US,42.6001,-73.9662,11.03,63,31,3.09,scattered clouds
97,Gokul,IN,27.45,77.7167,55.65,53,0,0.74,clear sky
98,Airai,TL,-8.9266,125.4092,71.76,64,91,6.89,overcast clouds
99,Mount Gambier,AU,-37.8333,140.7667,86.0,34,3,7.76,clear sky
100,Bandarbeyla,SO,9.4942,50.8122,74.95,80,100,15.19,light rain
101,Victor Harbor,AU,-35.5667,138.6167,92.46,76,38,5.17,scattered clouds
102,Ariquemes,BR,-9.9133,-63.0408,71.17,99,100,2.26,light rain
103,Barrow,US,71.2906,-156.7887,-5.78,77,40,10.36,snow
104,Mgandu,TZ,-5.95,34.1333,61.11,98,100,5.08,moderate rain
105,Fowa,NG,8.9167,6.4,69.26,14,100,4.97,overcast clouds
106,San Vicente De Canete,PE,-13.0751,-76.3835,69.93,88,81,3.58,broken clouds
107,Vaini,TO,-21.2,-175.2,81.57,69,100,13.44,overcast clouds
108,Coahuayana,MX,18.7333,-103.6833,70.09,72,0,1.21,clear sky
109,Kontagora,NG,10.3999,5.4695,69.46,14,63,9.73,broken clouds
110,Isangel,VU,-19.55,169.2667,78.55,87,100,2.77,overcast clouds
111,Ludvika,SE,60.1496,15.1878,24.04,69,0,5.28,clear sky
112,Chuy,UY,-33.6971,-53.4616,69.62,83,0,11.48,clear sky
113,Mahebourg,MU,-20.4081,57.7,81.25,94,75,9.22,broken clouds
114,Dikson,RU,73.5069,80.5464,-4.72,94,100,22.39,overcast clouds
115,Ahipara,NZ,-35.1667,173.1667,75.31,59,100,14.54,moderate rain
116,Vanimo,PG,-2.6741,141.3028,80.73,76,100,11.99,heavy intensity rain
117,Nemuro,JP,43.3236,145.575,19.47,53,13,13.15,few clouds
118,Gobabis,NA,-22.45,18.9667,66.42,83,99,11.92,overcast clouds
119,Clyde River,CA,70.4692,-68.5914,-28.97,75,0,4.61,clear sky
120,Bad Bevensen,DE,53.0833,10.5833,37.49,84,100,7.25,overcast clouds
121,Pevek,RU,69.7008,170.3133,-18.08,99,92,3.18,overcast clouds
122,Trinidad,BO,-14.8333,-64.9,72.84,97,89,4.05,overcast clouds
123,San Pedro,PH,14.35,121.0167,87.31,61,61,14.29,broken clouds
124,Qaanaaq,GL,77.484,-69.3632,-5.15,94,100,3.78,overcast clouds
125,Kragero,NO,58.8693,9.4149,28.58,60,100,10.25,overcast clouds
126,Katete,UG,-0.7818,29.7544,66.61,60,100,2.24,overcast clouds
127,Zhigansk,RU,66.7697,123.3711,-30.1,98,96,0.2,overcast clouds
128,Golovchino,RU,50.5341,35.797,31.1,95,100,16.04,light snow
129,Lapi,PH,17.716,121.8978,72.79,90,83,4.92,broken clouds
130,Omegna,IT,45.8798,8.408,42.37,75,8,3.18,clear sky
131,Chapais,CA,49.7834,-74.8492,-11.42,100,91,3.31,overcast clouds
132,Ugoofaaru,MV,5.6667,73.0,82.31,74,87,11.5,overcast clouds
133,Bathsheba,BB,13.2167,-59.5167,79.41,73,75,16.11,broken clouds
134,Pangnirtung,CA,66.1451,-65.7125,-20.74,86,93,5.59,overcast clouds
135,Kavaratti,IN,10.5669,72.642,81.28,73,2,8.52,clear sky
136,Hobart,AU,-42.8794,147.3294,87.22,52,20,1.99,few clouds
137,Namtsy,RU,62.7161,129.6658,-29.09,99,95,1.81,overcast clouds
138,Bacum,MX,27.55,-110.0833,62.26,35,98,6.96,overcast clouds
139,Plettenberg Bay,ZA,-34.0527,23.3716,68.13,91,99,1.43,overcast clouds
140,Gazanjyk,TM,39.2446,55.5154,39.85,63,35,2.06,scattered clouds
141,Provideniya,RU,64.3833,-173.3,10.51,72,75,17.9,broken clouds
142,Bilisht,AL,40.6275,20.99,27.81,75,3,2.98,clear sky
143,Waupun,US,43.6333,-88.7296,19.45,96,100,3.0,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,100,21.85,light snow
145,Dunblane,GB,56.1884,-3.9642,40.21,79,100,10.0,overcast clouds
146,Sola,VU,-13.8833,167.55,88.47,74,75,4.61,broken clouds
147,Amursk,RU,50.2261,136.8994,-8.03,94,98,10.45,overcast clouds
148,Marion,US,39.7684,-86.1555,28.53,76,75,3.44,broken clouds
149,Zhuji,CN,29.7188,120.2423,40.91,64,93,2.57,overcast clouds
150,Dingle,PH,10.9995,122.6711,84.65,69,15,9.19,few clouds
151,Nouadhibou,MR,20.931,-17.0347,63.82,77,100,18.37,overcast clouds
