City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Santa Cruz De Tenerife,ES,65.28,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
169,Sambava,MG,75.85,few clouds,-14.2667,50.1667,Melrose
170,Puerto Carreno,CO,78.13,few clouds,6.189,-67.4859,Casa Hotel Victoria
171,Esperance,AU,69.48,broken clouds,-33.8667,121.9,Hospitality Esperance
174,Beruwala,LK,81.05,scattered clouds,6.4788,79.9828,The Palms Hotel
175,Bucerias,MX,73.38,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
178,Mataura,NZ,71.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
180,Guasdualito,VE,78.8,few clouds,7.2424,-70.7324,Hotel Cuibas
184,Meulaboh,ID,83.57,broken clouds,4.1363,96.1285,Kost Pria
185,Chimore,BO,73.51,overcast clouds,-16.9833,-65.1333,Bichito
187,Hilo,US,74.93,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
188,Prainha,BR,73.9,moderate rain,-1.8,-53.48,Casa Rocha
195,Dubbo,AU,89.73,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
196,Sao Filipe,CV,71.2,overcast clouds,14.8961,-24.4956,Hotel Xaguate
198,Port Alfred,ZA,72.66,overcast clouds,-33.5906,26.891,The Halyards Hotel
204,Kyaikkami,MM,73.81,scattered clouds,16.08,97.5675,St. joseph catholic church
205,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
206,Coolum Beach,AU,88.34,scattered clouds,-26.5333,153.1,Coolum Beach Resort
211,Bonthe,SL,74.95,clear sky,7.5264,-12.505,Bonthe Holiday Village
213,Palu,ID,89.55,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
215,Santa Cruz,BO,76.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
217,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
218,Ambon,ID,91.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
220,Bundibugyo,UG,74.68,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
225,Lambarene,GA,74.82,overcast clouds,-0.7001,10.2406,Le Refuge
226,Mananjary,MG,72.5,scattered clouds,-21.2167,48.3333,Vahiny Lodge
228,Londa,IN,70.93,clear sky,15.4691,74.5191,SK home
229,Anloga,GH,78.44,overcast clouds,5.7947,0.8973,Pin Drop Hotel
237,Kaya,BF,67.86,few clouds,13.0917,-1.0844,Maison de l'appelé
238,Daru,PG,83.64,overcast clouds,-9.0763,143.2092,Daru Lodge
246,Tsiroanomandidy,MG,66.38,clear sky,-18.7667,46.0333,Hotel Ravinala
247,Hithadhoo,MV,82.13,clear sky,-0.6,73.0833,Scoop Guest House
249,Caravelas,BR,78.51,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
252,Cidreira,BR,73.35,clear sky,-30.1811,-50.2056,Hotel Castelo
262,Camana,PE,70.39,broken clouds,-16.6228,-72.7111,Hostal Morales
263,Pangai,TO,81.43,light rain,-19.8,-174.35,Ha'apai Beach Resort
264,Nelson Bay,AU,84.96,broken clouds,-32.7167,152.15,Mantra Nelson Bay
266,Amuntai,ID,87.12,overcast clouds,-2.4177,115.2494,Hotel Balqis
269,Waitati,NZ,70.11,scattered clouds,-45.75,170.5667,Arden Country House BnB Dunedin
272,Huarmey,PE,70.36,overcast clouds,-10.0681,-78.1522,Hotel Miramar
276,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
277,Port Blair,IN,77.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
280,Charlestown,AU,84.69,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
284,Kapit,MY,86.04,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
288,Tuy Hoa,VN,78.31,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
289,Maragogi,BR,78.31,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
292,Te Anau,NZ,73.53,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
293,Kavieng,PG,83.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
296,Namibe,AO,69.84,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
298,Faanui,PF,80.98,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Careiro Da Varzea,BR,75.83,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
305,Sao Joao Da Barra,BR,74.35,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
306,Canutama,BR,72.77,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
308,Geraldton,AU,86.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
310,Tiarei,PF,84.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
314,Kudahuvadhoo,MV,82.08,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
317,El Rosario,MX,66.4,broken clouds,24.2556,-107.1828,Mi casa
318,Pochutla,MX,77.85,clear sky,15.7432,-96.4661,Hotel Posada San Jose
319,Floriano,BR,74.39,few clouds,-6.7669,-43.0225,Hotel Maktub
320,Corowa,AU,90.57,clear sky,-36.0333,146.3833,Statesman Motor Inn
325,Quatis,BR,70.07,overcast clouds,-22.4072,-44.2581,Hotel Colonial
329,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
332,Moron,AR,78.98,few clouds,-34.6534,-58.6198,Hotel Morón
334,Oyem,GA,66.29,overcast clouds,1.5995,11.5793,Commissariat de police
336,Buala,SB,84.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
337,Port Moresby,PG,85.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
339,Bo Phloi,TH,83.73,few clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
341,Benguela,AO,74.71,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
344,Codajas,BR,72.7,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
346,Tarakan,ID,83.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
347,Atar,MR,76.51,overcast clouds,20.5169,-13.0499,Oumou Elghoura
348,Vallenar,CL,66.27,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
349,Biak,ID,85.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
353,Manaure,CO,75.52,clear sky,11.7751,-72.4445,Hotel Palaaima
357,Omboue,GA,77.77,overcast clouds,-1.5746,9.2618,Hotel Olako
358,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
361,Aracati,BR,80.02,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
365,General Pico,AR,67.78,clear sky,-35.6566,-63.7568,Euskadi Hotel
368,Bocanda,CI,68.22,broken clouds,7.0626,-4.4995,Hôtel les Résidences Mohyé
369,Dondo,MZ,74.71,clear sky,-19.6094,34.7431,Arco Iris
